uf,estado,regiao,remuneracao2017
AC,Acre,Norte,11315
AP,Amapá,Norte,7680
AM,Amazonas,Norte,10399
PA,Pará,Norte,9740
RO,Rondônia,Norte,10890
RR,Roraima,Norte,11739
TO,Tocantins,Norte,11718
AL,Alagoas,Nordeste,9562
BA,Bahia,Nordeste,10169
CE,Ceará,Nordeste,10619
MA,Maranhão,Nordeste,10965
PB,Paraíba,Nordeste,8870
PE,Pernambuco,Nordeste,9960
PI,Piauí,Nordeste,11027
RN,Rio Grande do Norte,Nordeste,9967
SE,Sergipe,Nordeste,9910
ES,Espírito Santo,Sudeste,9864
MG,Minas Gerais,Sudeste,9612
RJ,Rio de Janeiro,Sudeste,13193
SP,São Paulo,Sudeste,10516
PR,Paraná,Sul,9911
RS,Rio Grande do Sul,Sul,9574
SC,Santa Catarina,Sul,9830
DF,Distrito Federal,Centro-Oeste,16571
GO,Goiás,Centro-Oeste,10196
MT,Mato Grosso,Centro-Oeste,11601
MS,Mato Grosso do Sul,Centro-Oeste,9558
