Estado,Região,Remuneração Média Mensal
Acre,Norte,11315
Amapá,Norte,7680
Amazonas,Norte,10399
Pará,Norte,9740
Rondônia,Norte,10890
Roraima,Norte,11739
Tocantins,Norte,11718
Alagoas,Nordeste,9562
Bahia,Nordeste,10169
Ceará,Nordeste,10619
Maranhão,Nordeste,10965
Paraíba,Nordeste,8870
Pernambuco,Nordeste,9960
Piauí,Nordeste,11027
Rio Grande do Norte,Nordeste,9967
Sergipe,Nordeste,9910
Espírito Santo,Sudeste,9864
Minas Gerais,Sudeste,9612
Rio de Janeiro,Sudeste,13193
São Paulo,Sudeste,10516
Paraná,Sul,9911
Rio Grande do Sul,Sul,9574
Santa Catarina,Sul,9830
Distrito Federal,Centro-Oeste,16571
Goiás,Centro-Oeste,10196
Mato Grosso,Centro-Oeste,11601
Mato Grosso do Sul,Centro-Oeste,9558
