uf,estado,regiao,focos-2019
AC,Acre,Norte,6802
AP,Amapá,Norte,1277
AM,Amazonas,Norte,12676
PA,Pará,Norte,30165
RO,Rondônia,Norte,11230
RR,Roraima,Norte,4784
TO,Tocantins,Norte,13625
AL,Alagoas,Nordeste,232
BA,Bahia,Nordeste,7371
CE,Ceará,Nordeste,4304
MA,Maranhão,Nordeste,18521
PB,Paraíba,Nordeste,1184
PE,Pernambuco,Nordeste,840
PI,Piauí,Nordeste,10894
RN,Rio Grande do Norte,Nordeste,730
SE,Sergipe,Nordeste,81
ES,Espírito Santo,Sudeste,622
MG,Minas Gerais,Sudeste,9999
RJ,Rio de Janeiro,Sudeste,712
SP,São Paulo,Sudeste,3074
PR,Paraná,Sul,3314
RS,Rio Grande do Sul,Sul,3196
SC,Santa Catarina,Sul,1804
DF,Distrito Federal,Centro-Oeste,213
GO,Goiás,Centro-Oeste,7160
MT,Mato Grosso,Centro-Oeste,31169
MS,Mato Grosso do Sul,Centro-Oeste,11653
